hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
Radisson Blu Hotel New Delhi Paschim Vihar,"Pashim Vihar, New Delhi","46,300","46,300",Review score,6.6,"1,535",Superior room with 10% off on Food & soft Beverages,Beds: 1 double or 2 singles,,Swimming pool,No Metro,No prepayment needed – pay at the property,13.3 km from centre,"11,066"
Hotel HRS - New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)","5,190","5,190",Review score,4.7,151,Double or Twin Room,"2 beds (1 single, 1 double)",,Free parking,No Metro,No prepayment needed – pay at the property,1.7 km from centre,"1,010"
"Ambassador, New Delhi - IHCL SeleQtions",New Delhi,"128,498","128,498",Very good,8.0,"1,125","Executive Room Double Bed with Breakfast, 15% off on Food and Soft Beverages, Happy Hours (Buy 1 & Get 1) on select menu at InSomnia",1 double bed,,Free parking,Metro access,,3.7 km from centre,"23,130"
Hotel Bala Ji International New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)","16,766","25,794",Fabulous,8.6,425,Deluxe Family Room,"3 beds (1 extra-large double, 2 bunk beds)",,,No Metro,Free cancellation,1.7 km from centre,838
Hotel Belwoods Near Delhi Airport,"Aerocity, New Delhi (Aerocity)","105,595","131,994",Fabulous,8.9,24,Deluxe Family Suite,2 extra-large double beds,,Hot tub/Jacuzzi,Metro access,Free cancellation,13.5 km from centre,"19,007"
"Hotel La Sagrita,Sunder Nagar","Sundar Nagar, New Delhi","59,600","59,600",Good,7.2,208,Premium Double or Twin Room,Beds: 1 double or 2 singles,,Free parking,No Metro,,3.8 km from centre,"10,728"
"Hotel City Empire at Janakpuri "" Couple Friendly""","Janakpuri, New Delhi","30,239","151,195",Review score,6.3,40,Superior Double Room,1 large double bed,Breakfast included,Free parking,No Metro,Free cancellation,12.2 km from centre,"1,512"
Radisson Blu Hotel New Delhi Dwarka,"Dwarka, New Delhi","86,111","86,111",Very good,8.1,"2,970",Superior Double or Twin Room with 20% discount on Food & Soft Beverage,Beds: 1 double or 2 singles,,Swimming pool,Metro access,,18.7 km from centre,"15,500"
Hilton Garden Inn New Delhi/Saket,"Saket, New Delhi","98,500","98,500",Good,7.8,"1,338",Premium King Room,1 extra-large double bed,Breakfast included,Swimming pool,No Metro,No prepayment needed – pay at the property,11.9 km from centre,"17,730"
The Leela Ambience Convention Hotel Delhi,New Delhi,"87,300","87,300",Fabulous,8.7,"2,039",Executive Premier- Twin Room,2 single beds,,Swimming pool,No Metro,,8.3 km from centre,"18,289"
Super Townhouse Hotel Silver Saffron,"Pashim Vihar, New Delhi","12,401","19,684",Good,7.5,30,Classic Triple Room,1 large double bed,,,Metro access,Free cancellation,13.2 km from centre,824
"Fortune Park, East Delhi - Member ITC Hotels' Group",New Delhi,"80,500","80,500",Very good,8.5,104,"Executive Suite, 20% off on Spa session","Private suite • 1 bedroom • 1 living room • 2 bathrooms • 52 m²2 beds (1 extra-large double, 1 sofa bed)",,Free parking,No Metro,,8.6 km from centre,"14,490"
The Aziz Residency,New Delhi,"11,853","11,853",Good,7.4,96,Double Room,1 double bed,,Airport shuttle (free),No Metro,,5.2 km from centre,593
The Metropolitan Hotel & Spa New Delhi,New Delhi,"128,000","128,000",Good,7.8,"1,349","Club Double or Twin Room with Breakfast and Dinner, 20% off on food & soft beverages",Beds: 1 double or 2 singles,Breakfast & dinner included,Swimming pool,Metro access,No prepayment needed – pay at the property,1.5 km from centre,"23,040"
Hotel Apple Wood Residency Delhi Airport With One Way Airport Transfar,New Delhi,"15,117","25,196",Very good,8.0,24,Deluxe Triple Room,"2 beds (1 single, 1 large double)",,Free parking,No Metro,Free cancellation,15.1 km from centre,756
Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi","59,900","59,900",Review score,6.9,"1,459",Deluxe King Room,1 extra-large double bed,,Swimming pool,Metro access,No prepayment needed – pay at the property,14.1 km from centre,"10,782"
"The Imperial, New Delhi","Connaught Place, New Delhi","345,548","345,548",Exceptional,9.5,"1,696",Grand Heritage Room,1 extra-large double bed,Breakfast included,Swimming pool,Metro access,,1.3 km from centre,"62,199"
"Ginger Delhi, Chanakyapuri","Chanakyapuri, New Delhi","65,794","65,794",Good,7.7,120,Deluxe Double Room with Balcony,1 large double bed,,Free parking,No Metro,,6.7 km from centre,"11,843"
Crowne Plaza New Delhi Okhla by IHG,New Delhi,"75,344","75,344",Very good,8.2,856,"Standard Room Offers Buy1Get1 on Premium beverages between 11amto7pm and 15% discount on Food and Soft beverages, SPA and Laundry",2 single beds,,Swimming pool,No Metro,No prepayment needed – pay at the property,12.8 km from centre,"15,069"
Radisson Blu Plaza Delhi Airport,"Mahipalpur, New Delhi","88,980","91,732",Fabulous,8.9,"7,644","Deluxe Room with Happy Hours 01:00 PM to 06:00 PM, one way Airport Transfers and Free Pick up and drop to Worldmark Aerocity (subject to car availability)",1 large double bed,,Swimming pool,No Metro,No prepayment needed – pay at the property,14.3 km from centre,"21,355"
HOTEL THE M M Continental- New Delhi RAILWAY STATION,"Paharganj, New Delhi (Chandni Chowk)","12,935","12,935",Review score,4.7,61,Triple Room,"2 beds (1 single, 1 double)",,Free parking,No Metro,No prepayment needed – pay at the property,1.6 km from centre,772
"Taj Palace, New Delhi","Chanakyapuri, New Delhi","214,878","214,878",Fabulous,8.8,"2,123",Taj Club Room King Bed Forest and Pool View,Private suite1 extra-large double bed,Breakfast included,Swimming pool,No Metro,,6.7 km from centre,"38,678"
