hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
Jyoti Mahal - An Award Winning Royal Heritage Hotel - Close to Connaught Place,"Paharganj, New Delhi (Chandni Chowk)",99994,249986,Very good,8.0,203,Heritage Maharaja Suite,Private suite • 17 m²1 double bed,N/A,N/A,Metro access,Free cancellation,N/A,14023
PEACE POINT FAMILY HOTEL By AKJ,"Paharganj, New Delhi (Chandni Chowk)",11167,27918,Good,7.6,133,Deluxe Family Room,2 double beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,558
Hotel All Iz Well - Just a min away from New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",18807,34195,Good,7.4,330,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,N/A,N/A,940
Hotel Golden Wings,"Paharganj, New Delhi (Chandni Chowk)",19354,46080,Good,7.4,14,Deluxe Double Room,2 double beds,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,968
Hotel Shelton,"Paharganj, New Delhi (Chandni Chowk)",39200,39200,Good,7.7,322,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,N/A,N/A,1960
Hotel KK Casa Near New Delhi Railway Station & Connaught place,"Paharganj, New Delhi (Chandni Chowk)",89247,89247,Very good,8.3,40,Triple Room with City View,"2 beds (1 double, 1 sofa bed)",N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,16064
Hotel Nitya Maharani,"Paharganj, New Delhi (Chandni Chowk)",26638,38054,Good,7.6,76,Comfort Triple Room,"2 beds (1 single, 1 large double)",Breakfast included,Airport shuttle (free),No Metro,Free cancellation,N/A,1332
Vishal Hotel Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",9086,9086,Review score,6.6,30,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,Free cancellation,N/A,454
Hotel Delhi Pride at Karol Bagh,"Karol bagh, New Delhi",27024,58747,Good,7.7,157,Deluxe Double or Twin Room,2 large double beds,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,1351
Anand Hotel With banquet hall Karol Bagh,"Karol bagh, New Delhi",18240,22800,N/A,0.0,0,Double Room with Private Bathroom,2 double beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,912
"Hotel Vanson Villa, City Centre - With Free Airport & Train Station Pickup","Paharganj, New Delhi (Chandni Chowk)",67222,122222,Superb,9.2,179,Deluxe Double Room,2 double beds,N/A,Free parking,Metro access,Free cancellation,N/A,3361
Hotel Kuber International - New Delhi Train Station,"Paharganj, New Delhi (Chandni Chowk)",17556,21945,Good,7.3,116,Deluxe Double Room,2 double beds,N/A,Free parking,No Metro,Free cancellation,N/A,878
Hotel The Yuvaan BnB-Near New Delhi Railway,"Paharganj, New Delhi (Chandni Chowk)",9450,35000,Good,7.3,19,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,473
Hari Piorko Inn - Just a min away from New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",29356,39141,Good,7.9,199,Super Deluxe,1 large double bed,N/A,Spa and wellness centre,No Metro,Free cancellation,N/A,1468
Hotel Bhartiya-New Delhi Railway Station-2 minutes walk,"Paharganj, New Delhi (Chandni Chowk)",15795,15795,Review score,6.7,149,Double Room,2 double beds,N/A,Bar,No Metro,Free cancellation,N/A,790
Hotel Mountain Bliss' New Delhi City center,"Paharganj, New Delhi (Chandni Chowk)",27197,27197,Good,7.9,154,Family Suite,1 double bed,N/A,Airport shuttle (free),No Metro,Free cancellation,N/A,1360
The York Legacy Hotel - 2 Minutes Walk From New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",14395,17994,Review score,6.8,32,Superior Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,720
FabHotel Rivlet Premium,"Dariyaganj, New Delhi (Chandni Chowk)",47668,91670,Review score,6.1,39,Deluxe Room,2 double beds,N/A,N/A,No Metro,N/A,N/A,2383
Hotel The Grace House - Paharganj - New Delhi,"Paharganj, New Delhi (Chandni Chowk)",16816,26276,Good,7.4,87,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,Free parking,Metro access,Free cancellation,N/A,841
Hotel Star DX by P K Residency,"Paharganj, New Delhi (Chandni Chowk)",13525,15028,Very good,8.1,85,Comfort Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,676
Hotel Paradise - New Delhi,"Paharganj, New Delhi (Chandni Chowk)",7920,9900,Good,7.0,48,Twin Room with Bath,2 single beds,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,396
Hotel Sunstar Heritage,"Karol bagh, New Delhi",25311,25311,Very good,8.3,191,Standard Triple Room,"2 beds (1 double, 1 extra-large double)",N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,1266
Spot On Swagat Palace,"Karol bagh, New Delhi",5254,8340,Review score,3.3,45,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,518
Hotel Arina Inn,"Chandni Chowk, New Delhi (Chandni Chowk)",20178,33630,Review score,4.0,40,Deluxe Triple Room,Multiple bed types,N/A,N/A,Metro access,Free cancellation,N/A,1009
Hotel Apple Villa - New Delhi,"Paharganj, New Delhi (Chandni Chowk)",14914,22945,Superb,9.0,137,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,N/A,N/A,746
Hotel Sweet Home DX I Nearby New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",10782,18916,Good,7.7,118,Basic Triple Room,"2 beds (1 double, 1 sofa bed)",N/A,N/A,No Metro,Free cancellation,N/A,539
Le ALFANSO BY AZAD RAM Main Road,"Paharganj, New Delhi (Chandni Chowk)",14940,14940,Review score,5.5,2,Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,747
New PG International - Family Hotels,"Paharganj, New Delhi (Chandni Chowk)",7497,14994,Review score,6.6,14,Deluxe Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,375
Townhouse Karol Bagh Formerly Hotel Unistar,"Karol bagh, New Delhi",20692,32844,Good,7.1,39,Classic Triple Room,1 large double bed,N/A,Free parking,No Metro,Free cancellation,N/A,1040
Collection O Karol Bagh,"Karol bagh, New Delhi",15564,24705,N/A,0.0,0,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,783
Grand Central Hotel,"Karol bagh, New Delhi",25200,42000,Review score,5.6,5,Deluxe Quadruple Room,2 extra-large double beds,N/A,N/A,Metro access,Free cancellation,N/A,1260
Hotel Jaipur Palace Near Red Fort,"Dariyaganj, New Delhi (Chandni Chowk)",16078,22969,Review score,6.3,24,Double Room,1 double bed,N/A,N/A,Metro access,Free cancellation,N/A,804
Cottage Ganga Inn,"Paharganj, New Delhi (Chandni Chowk)",12936,12936,Good,7.3,284,Deluxe Family Room,2 large double beds,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,647
Hotel Luxery RR Inn - Paharganj,"Paharganj, New Delhi (Chandni Chowk)",9897,19794,Review score,6.5,12,Deluxe Family Room,2 extra-large double beds,N/A,N/A,No Metro,Free cancellation,N/A,495
Family Hotel Seven Seas New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",9594,9594,Review score,6.7,21,Deluxe Family Room,2 single beds,N/A,N/A,No Metro,Free cancellation,N/A,480
Hotel Le Roi Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",26870,33588,Review score,6.1,74,Deluxe Single Room,1 single bed,N/A,Free parking,No Metro,N/A,N/A,1344
Hotel Raj Mahal Inn Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",17640,17640,Good,7.5,125,Deluxe Double room Non AC,2 double beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,882
FabExpress Le Continental - Nr New Delhi Railway Station,"Central Delhi, New Delhi",13154,25296,Good,7.3,230,Deluxe Room,1 double bed,N/A,Airport shuttle (free),No Metro,N/A,N/A,658
FlexiBay Boys Hostel North Campus,"Central Delhi, New Delhi",14580,19440,N/A,0.0,0,Deluxe Double Room,4 single beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,729
Hotel Mayur - New Delhi City Centre,"Paharganj, New Delhi (Chandni Chowk)",21600,28800,Exceptional,9.8,34,Double Room,2 double beds,N/A,Free parking,No Metro,Free cancellation,N/A,1080
Hotel Sky Rich International -Near to Famous Karol Bagh Market & Metro Station,"Karol bagh, New Delhi",34916,58194,Good,7.6,156,Family Room,"2 beds (1 extra-large double, 1 sofa bed)",N/A,Free parking,Metro access,Free cancellation,N/A,1746
Hotel O Delhi-Near MCD parking Karol Bagh,"Karol bagh, New Delhi",21780,21780,Review score,5.4,16,Triple Room,"2 beds (1 double, 1 large double)",N/A,Free parking,Metro access,Free cancellation,N/A,1089
Hotel Royal Palace - Near new delhi railway station By Windson Hospitality,"Paharganj, New Delhi (Chandni Chowk)",7198,23994,Exceptional,10,2,Deluxe Double Room,1 double bed,N/A,Free parking,No Metro,Free cancellation,N/A,360
Hotel Harsha International,"Paharganj, New Delhi (Chandni Chowk)",10748,16794,Review score,6.3,327,Triple Room,2 double beds,N/A,Bar,No Metro,Free cancellation,N/A,537
Hotel Delhi Empire Dx,"Paharganj, New Delhi (Chandni Chowk)",8661,9623,Review score,5.2,11,Family Room,"2 beds (1 double, 1 large double)",N/A,N/A,No Metro,N/A,N/A,433
Hotel Hari Piorko Grand - 2 Min from New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",29356,39141,Good,7.9,420,Compact Deluxe Room,1 large double bed,N/A,Spa and wellness centre,No Metro,Free cancellation,N/A,1468
Delhi - Hotel City Height - Delhi NCR ID not accepted,"Paharganj, New Delhi (Chandni Chowk)",23009,38998,Superb,9.3,8,Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,1150
Hotel O Heaven Stay,"North Delhi, New Delhi",8530,13539,Exceptional,10,1,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,732
Super Hotel O Paharganj,"Paharganj, New Delhi (Chandni Chowk)",8544,13562,Review score,6.6,12,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,435
FlexiBay Girls Hostel North Campus,"Central Delhi, New Delhi",15960,19950,N/A,0.0,0,Deluxe Double Room,"6 beds (4 singles, 2 doubles)",N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,798
"Hotel Nav Durga ""2 Walking from New Delhi Railway Station""","Paharganj, New Delhi (Chandni Chowk)",21854,24835,Good,7.1,16,Family Room,2 large double beds,N/A,N/A,No Metro,Free cancellation,N/A,1093
Amax Inn,"Paharganj, New Delhi (Chandni Chowk)",15662,20340,Review score,6.5,80,Deluxe Double Room,2 double beds,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,783
Hotel Le sancy,"Karol bagh, New Delhi",11394,11394,N/A,0.0,0,Double Room,"20 beds (15 doubles, 4 extra-large doubles, 1 large double)",N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,570
Hotel O The signature stay,"North Delhi, New Delhi",5296,8406,Review score,2.2,22,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,571
Hotel Leo,"Paharganj, New Delhi (Chandni Chowk)",9234,9234,Good,7.0,7,Double Room with Private Bathroom,2 large double beds,N/A,N/A,No Metro,N/A,N/A,462
Collection O Collection O Paharganj Near Railway Station,"Paharganj, New Delhi (Chandni Chowk)",7363,11687,Review score,1.5,2,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,373
Hotel Vandana - 5 mins away from New Delhi,"Paharganj, New Delhi (Chandni Chowk)",8905,8905,Review score,3.0,2,Triple Room,1 double bed,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,445
Hotel Maharani -New Delhi Railway Station - Paharganj,"Paharganj, New Delhi (Chandni Chowk)",11400,24000,Good,7.6,78,Deluxe Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,Free parking,No Metro,Free cancellation,N/A,570
"Hotel C Park, Karol Bagh, New Delhi","Karol bagh, New Delhi",28310,28310,Good,7.9,46,Superior Double Room,"2 beds (1 extra-large double, 1 sofa bed)",N/A,Free parking,Metro access,Free cancellation,N/A,1416
Hotel Rachna Tourist Inn,"Paharganj, New Delhi (Chandni Chowk)",6994,6994,Review score,3.6,11,Deluxe Family Room,2 double beds • Cot always available,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,350
Hotel Sun International,"Paharganj, New Delhi (Chandni Chowk)",15180,34500,Review score,6.4,84,Comfort Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,759
Hotel O Priya Palace,"Paharganj, New Delhi (Chandni Chowk)",12717,20185,Good,7.0,76,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,942
Hotel Garden View - Near Karol Bagh Metro Station and Gaffar Market,"Karol bagh, New Delhi",43740,82528,Very good,8.2,87,Superior Triple Room,"2 beds (1 single, 1 large double)",N/A,Free parking,Metro access,Free cancellation,N/A,2187
